64	8891903	1009791	Sour To The People Sour Beer	330.00	4.80	29.90	90.61	0	0
65	3068703	1009794	Költur That's What She Said Amber Ale	330.00	5.60	26.90	81.52	0	0
66	3068803	1009803	No Name Evölution India Pale Ale	330.00	6.80	28.90	87.58	0	0
67	3069303	1009972	Rådanäs Ekologiska Pilsner 	330.00	4.70	24.90	75.46	0	1
68	3069403	1010053	Stallhagen India Pale Ale	330.00	6.00	29.90	90.61	0	0
69	3069503	1010105	Mohawk Dubbel Xmas 	330.00	7.00	29.90	90.61	0	0
70	3069603	1010153	Janne Shuffle Lager	330.00	5.10	35.90	108.79	0	0
71	3069701	1010158	Helsinge Porter	500.00	7.00	42.00	84.00	0	0
72	3069903	1010216	S:t Eriks Capital IPA 	330.00	6.40	21.90	66.36	0	0
73	3070003	1010219	CAP Dont Break the Oat Oatmeal Stout	330.00	4.70	25.90	78.49	0	0
74	3070203	1010230	Slussen Extra Special Bitter	330.00	5.20	35.20	106.67	0	0
75	3070703	1010593	Ysta Caribbean India Pale Ale Mango/Chili	330.00	6.50	31.90	96.67	0	0
76	3070801	1010619	Ysta 50/50 	500.00	5.00	25.60	51.20	0	0
77	3070903	1010622	X-mas Ale	330.00	8.70	34.50	104.55	0	0
78	8990915	1010644	Bron Pale Ale	330.00	5.20	22.90	69.39	0	0
79	8916515	1010647	Bron Indian Pale Ale	330.00	6.40	22.90	69.39	0	0
80	8858901	1010650	Zeunerts Julöl 	500.00	5.10	17.90	35.80	0	0
81	3071403	1010805	Dugges Christmas Idjit! Imperial Stout	330.00	9.50	34.90	105.76	0	0
82	3072503	1010861	Jädraöl Jädra Jul	330.00	7.00	29.90	90.61	0	0
83	3073101	1010888	Oceanbryggeriet Julöl	500.00	5.80	32.50	65.00	0	0
84	8873601	1010902	Kozel Dark	500.00	3.80	16.90	33.80	0	0
85	3073903	1010961	South Plains Winter Ale	330.00	6.00	24.00	72.73	0	0
86	3074003	1010969	Julöl Sundbybergs köksbryggeri	330.00	6.80	34.00	103.03	0	0
87	3074301	1011330	Ysta Julöl 	500.00	5.70	26.20	52.40	0	0
88	3074701	1011346	Christmas Ale 	750.00	7.30	139.90	186.53	0	0
89	8837101	1011576	Kalla Tiders Ängöl 	500.00	5.80	31.90	63.80	0	1
90	8918303	1012246	Double O MC Federation Road Brand	330.00	5.20	21.20	64.24	0	0
91	8853703	1012249	Double O Shitting Monkey	330.00	4.80	19.20	58.18	0	0
92	1153503	1012467	Dugges Black Currant 	330.00	4.50	27.90	84.55	0	1
93	8892401	1013540	Guinness West Indies Porter	500.00	6.00	25.90	51.80	0	0
94	8863501	1013554	Guinness Dublin Porter	500.00	3.80	23.90	47.80	0	0
95	8820203	1014690	To Øl Garden Of Eden	330.00	6.40	29.90	90.61	0	0
96	8946603	1017980	Motörhead Imperial Pale Lager	330.00	6.20	29.90	90.61	0	0
97	1192103	1017990	S:t Eriks Belgian Stout	330.00	8.00	27.90	84.55	0	0
98	1122201	1018003	Zoiglbier 	500.00	5.80	32.90	65.80	0	0
99	8990603	1018116	Trifecta India Pale Ale	355.00	6.90	61.40	172.96	0	0
100	8982003	1018217	Anti-gravity Lager	355.00	4.00	52.30	147.32	0	0
101	8904803	1018233	Flying Monkeys Amber Ale	355.00	5.00	52.20	147.04	0	0
102	8976903	1018236	Hoptical Illusion Almost Pale Ale	355.00	5.00	55.10	155.21	0	0
103	8878403	1018279	Fubar Pale Ale	330.00	4.40	53.90	163.33	0	0
104	8837403	1018698	Coppersmiths Winter Ale Collaboration with Färna Herrgård	330.00	4.80	22.00	66.67	0	0
105	8858303	1018708	Liefmans Goudenband	330.00	8.00	31.90	96.67	0	0
106	8877903	1018711	Sixes and Sevens Pale Ale	330.00	5.40	24.00	72.73	0	0
107	8864103	1018714	Liefmans Kriek Brut	330.00	6.00	29.90	90.61	0	0
108	8807903	1018792	Sixes and Sevens Pale Lager	330.00	4.80	22.90	69.39	0	0
109	8804903	1018795	Ballast Point Habanero Sculpin India Pale Ale	355.00	7.00	36.90	103.94	0	0
110	8841803	1018867	Ballast Point Grapefruit Sculpin India Pale Ale	355.00	7.00	36.90	103.94	0	0
111	3075503	1018924	West Coast IPA 	330.00	6.30	33.90	102.73	0	0
112	3075603	1018939	West Coast Red	330.00	5.10	28.90	87.58	0	0
113	3075703	1018945	Soma Session IPA 	330.00	4.70	33.90	102.73	0	0
114	3075803	1018974	Rött Men Inte Sött 	330.00	4.40	34.90	105.76	0	0
115	3075903	1019020	Electric Nurse Christmas Ale	330.00	5.30	24.90	75.46	0	0
116	3076003	1019033	Vega Shoreline APA 	330.00	5.60	24.90	75.46	0	0
117	3076103	1019055	Vega Gotenius Porter	330.00	6.00	26.90	81.52	0	0
118	8847815	1019075	Garage Project Hapi Daze Pacific Pale Ale	330.00	4.60	31.90	96.67	0	0
119	8855103	1019095	Adnams Southwold Jack Brand Dry Hopped Lager	330.00	4.20	23.90	72.42	0	0
120	3076201	1019098	Röda Hjorten 	500.00	5.50	29.90	59.80	0	0
121	8828015	1019168	BrewDog Jack Hammer	330.00	7.20	24.90	75.46	0	0
122	3076301	1019220	Nolhaga Park 	500.00	6.00	31.30	62.60	0	0
123	3076703	1019431	Beerbliotek Christmas Nights Spiced Porter	330.00	7.00	29.90	90.61	0	0
124	8947501	1019437	Collesi Bionda	500.00	6.00	48.00	96.00	0	0
125	8963401	1019448	Collesi Ambrata	500.00	7.50	49.00	98.00	0	0
126	3077303	1019495	Sun Giant Pale Ale	330.00	4.60	29.80	90.30	0	0
127	8986403	1019534	Red October 	330.00	6.00	20.20	61.21	0	0
128	3077703	1019674	Rantens Porter	330.00	5.70	34.00	103.03	0	0
129	3077803	1019812	Påverås India Pale Ale	330.00	6.00	33.30	100.91	0	0
130	3078103	1019855	Rocket Zero Gravity Brett IPA	330.00	7.10	34.90	105.76	0	0
131	3078303	1019864	Det Lille Bryggeri Black Chili Lakrids	330.00	6.60	44.90	136.06	0	0
132	168303	1019867	Red Kite Organic Amber Ale	330.00	4.20	22.90	69.39	0	1
133	131315	1019870	Coppersmith's Bière Blanche	330.00	5.20	22.50	68.18	0	0
134	8830101	1020250	Collesi Rossa	500.00	8.00	53.00	106.00	0	0
135	8830601	1020253	Collesi Triplo Malto Bionda	500.00	9.00	56.00	112.00	0	0
136	3078603	1020509	Eva Lisa Pale Ale	330.00	5.00	23.40	70.91	0	0
137	8865701	1020713	Helsinge Julöl	500.00	5.70	33.90	67.80	0	0
138	3078703	1020785	Blonde Ale 	330.00	4.80	26.80	81.21	0	0
139	8887703	1020795	Carlskrona Julöl	330.00	5.40	26.00	78.79	0	0
140	3078803	1020830	Saaz Single Hop Belgian Ale	330.00	5.30	28.70	86.97	0	0
141	3078901	1020860	Göteborgs Jul-Öl 	500.00	5.80	25.90	51.80	0	0
142	3079101	1020883	Porter Fenix 	500.00	6.20	29.90	59.80	0	0
143	3079303	1020904	Kattjerks India Pale Ale	330.00	5.90	33.00	100.00	0	0
144	8847303	1020926	Samichlaus Classic	330.00	14.00	49.40	149.70	0	0
145	3079503	1020973	Jädraöl IPA 	330.00	6.50	27.90	84.55	0	0
146	3079803	1021007	S:t Annas Amber Lager	330.00	5.50	17.90	54.24	0	0
147	3080003	1021018	Baggens IPA 	330.00	6.10	28.90	87.58	0	0
148	3080103	1021039	Södra Deer Santa	330.00	5.30	19.90	60.30	0	0
149	3080403	1021092	Stockeboda Gårdsbryggeri Kaffeporter	330.00	6.00	29.90	90.61	0	0
150	3080703	1021269	Rosen Boom 	330.00	5.20	23.90	72.42	0	0
151	3080903	1021370	Leufsta Pils 	330.00	5.00	22.90	69.39	0	0
152	8846401	1021495	OPAT Svetlý Lezák	500.00	4.80	20.00	40.00	0	0
153	3081103	1021586	Neptun IPA	330.00	6.00	24.70	74.85	0	0
154	3081303	1021596	Hållvallen Ekologisk Havrestout	330.00	4.50	39.10	118.49	0	1
155	3081903	1021710	Mölska Tallstrunt 	330.00	6.80	39.40	119.39	0	0
156	3082003	1021715	Royal Oats Imperial Oat Porter	330.00	8.60	39.90	120.91	0	0
157	8949803	1022248	Zeunerts 1857 	330.00	4.20	9.90	30.00	0	0
158	8930603	1022357	Omnipollo Bianca Mango Lassi Gose	330.00	6.00	38.90	117.88	0	0
159	8904601	1022762	Black Elf Black Pale Ale	500.00	4.50	34.90	69.80	0	0
160	161315	1023882	Primator Premium 	330.00	5.00	11.90	36.06	0	0
161	167601	1023908	Primus Lux Nya Carnegiebryggeriet	750.00	7.00	59.90	79.87	0	0
162	163803	1023981	Sigtuna Lager Organic 	330.00	5.10	19.90	60.30	0	1
163	161815	1023999	Becker's Pils 	330.00	4.90	11.90	36.06	0	0
164	141403	1024267	To Øl My Pils	330.00	4.00	16.90	51.21	0	0
165	132003	1024270	Gaffel Kölsch 	330.00	4.80	16.90	51.21	0	0
166	169203	1024283	Mikkeller Spontancassis	375.00	7.70	59.00	157.33	0	0
167	8864201	1024305	Waxholm Julöl	500.00	5.70	28.40	56.80	0	0
168	165803	1024902	Estrella Galicia Premium Lager	250.00	4.70	8.90	35.60	0	0
169	136103	1024923	Cirrus The Cloudy Lager	330.00	5.10	13.90	42.12	0	1
170	8969303	1025560	Ocho Reales  Porter Glutenfree	330.00	4.50	41.10	124.55	0	0
171	8847903	1025685	Lion Stout	330.00	8.80	39.40	119.39	0	0
172	8847901	1025694	Lion Stout	625.00	8.80	72.50	116.00	0	0
173	8832203	1025700	Cucapá Honey Amber Ale	355.00	4.50	40.30	113.52	0	0
174	8872503	1025703	Cucapá Obscura	355.00	4.80	40.70	114.65	0	0
175	8899403	1025706	Quilmes Stout	340.00	4.80	37.10	109.12	0	0
176	8888203	1025712	Ocho Reales Ale	330.00	5.00	41.80	126.67	0	0
177	8897203	1025716	Granaten 	330.00	6.00	35.90	108.79	0	0
178	8863603	1025922	Quilmes Bock 	340.00	6.30	37.90	111.47	0	0
179	8849801	1025943	King Cobra 	750.00	7.50	86.80	115.73	0	0
180	8820803	1025952	Gurkha Premium Lager Beer	330.00	4.80	32.20	97.58	0	0
181	1156301	1027480	Belgisk Pale Ale Haandbryggeriet	500.00	6.50	42.90	85.80	0	0
182	3082103	1027541	Fjäll Pilsner 	330.00	5.00	27.10	82.12	0	0
183	1156903	1028060	Weihenstephaner 1516 Kellerbier	330.00	5.60	19.90	60.30	0	0
184	1157103	1028083	Anchor Saison 	355.00	7.20	24.90	70.14	0	0
185	1157303	1028113	Founders Curmudgeon 	355.00	9.80	37.90	106.76	0	0
186	3082203	1028116	Big Blind Double IPA	330.00	7.90	39.90	120.91	0	0
187	3082303	1028129	Unsecret Ingredient Single Hop Ale	330.00	5.20	33.90	102.73	0	0
188	8915601	1028165	Thornbridge Jaipur India Pale Ale	500.00	5.90	39.90	79.80	0	0
189	1189403	1028174	Temple Garden Yuzu Ale Baird Brewing Co	330.00	6.00	38.90	117.88	0	0
190	3082403	1028177	West Coast Bohemian Pilsner 	330.00	5.00	24.90	75.46	0	0
191	3082503	1028180	West Coast Baltic Porter	330.00	7.50	36.90	111.82	0	0
192	8907003	1028288	Evil Twin Christmas Eve At A New York City Hotel Room	355.00	10.00	31.40	88.45	0	0
193	8911601	1028545	Hobgoblin 	500.00	5.20	29.90	59.80	0	0
194	3082803	1028617	Eskilstuna Ölkultur Barley Wine	330.00	9.50	45.00	136.36	0	0
195	8926303	1029439	Edge Hoptimista Indian Pale Ale	330.00	6.60	37.90	114.85	0	0
196	8951303	1029442	Edge Flor de la Vida Pale Ale	330.00	4.70	34.90	105.76	0	0
197	3083003	1029694	Nomad Pils 	330.00	4.80	28.90	87.58	0	1
198	3083103	1029873	Odyssé IPA India Pale Ale	330.00	6.80	32.90	99.70	0	1
199	3083303	1029933	'NAUT Black India Pale Ale	330.00	7.50	29.00	87.88	0	0
200	3083403	1029942	Nausta Inland Red Ale	330.00	5.00	25.90	78.49	0	0
201	3083503	1029961	Nausta Lager	330.00	5.00	25.90	78.49	0	0
202	3083603	1029994	NKB Shady Jade Pale Ale	330.00	5.80	26.90	81.52	0	0
203	3083703	1030043	Ocean Lallas Lager	330.00	4.80	19.90	60.30	0	0
204	3083803	1030049	Vega Hazy Amber Pale Ale	330.00	5.80	24.90	75.46	0	0
205	3083903	1030075	Tyska Eken Pilsner 	330.00	5.20	20.90	63.33	0	0
206	3084103	1030189	Waxholm Pale Ale	330.00	5.20	27.50	83.33	0	0
207	8812903	1030282	Äppelbo Enbärs 	330.00	5.20	34.90	105.76	0	0
